hidden_layers,learning_rate,max_iter,accuracy
"(50,)",0.01,200,0.8888888888888888
"(50,)",0.01,500,0.8888888888888888
"(50,)",0.01,1000,0.8888888888888888
"(50,)",0.001,200,0.8888888888888888
"(50,)",0.001,500,0.8888888888888888
"(50,)",0.001,1000,0.8888888888888888
"(50,)",0.0001,200,0.6111111111111112
"(50,)",0.0001,500,0.8333333333333334
"(50,)",0.0001,1000,0.8888888888888888
"(100,)",0.01,200,0.8333333333333334
"(100,)",0.01,500,0.8333333333333334
"(100,)",0.01,1000,0.8333333333333334
"(100,)",0.001,200,0.8333333333333334
"(100,)",0.001,500,0.8333333333333334
"(100,)",0.001,1000,0.8333333333333334
"(100,)",0.0001,200,0.8888888888888888
"(100,)",0.0001,500,0.8888888888888888
"(100,)",0.0001,1000,0.8888888888888888
"(200,)",0.01,200,0.8333333333333334
"(200,)",0.01,500,0.8333333333333334
"(200,)",0.01,1000,0.8333333333333334
"(200,)",0.001,200,0.8333333333333334
"(200,)",0.001,500,0.8333333333333334
"(200,)",0.001,1000,0.8333333333333334
"(200,)",0.0001,200,0.9444444444444444
"(200,)",0.0001,500,0.9444444444444444
"(200,)",0.0001,1000,0.8333333333333334
"(100, 50)",0.01,200,0.8333333333333334
"(100, 50)",0.01,500,0.8333333333333334
"(100, 50)",0.01,1000,0.8333333333333334
"(100, 50)",0.001,200,0.8333333333333334
"(100, 50)",0.001,500,0.8333333333333334
"(100, 50)",0.001,1000,0.8333333333333334
"(100, 50)",0.0001,200,0.8333333333333334
"(100, 50)",0.0001,500,0.8333333333333334
"(100, 50)",0.0001,1000,0.8333333333333334
